Attack                                  GNN           Dataset       Target Acc      Attacker Acc      Attacker F1-Score
surviving_edges_60p_same_domain_post    gat           pubmed        85.62           70.64             76.65
surviving_edges_80p_same_domain_post    gat           pubmed        85.62           58.32             70.34
baseline_train_same_domain_dist         gat           pubmed        86.20           71.00             76.32
baseline_test_same_domain_dist          gat           pubmed        85.62           72.37             76.44
surviving_edges_20p_same_domain_dist    gat           pubmed        85.62           72.46             77.28
surviving_edges_40p_same_domain_dist    gat           pubmed        85.62           77.39             80.52
surviving_edges_60p_same_domain_dist    gat           pubmed        85.62           80.50             81.96
surviving_edges_80p_same_domain_dist    gat           pubmed        85.62           82.39             83.81

baseline_train_same_domain_post         gcn           cora          90.98           72.34             75.82
baseline_test_same_domain_post          gcn           cora          75.44           67.38             63.34
surviving_edges_20p_same_domain_post    gcn           cora          75.44           67.46             69.21
surviving_edges_40p_same_domain_post    gcn           cora          75.44           64.72             68.03
surviving_edges_60p_same_domain_post    gcn           cora          75.44           70.09             74.35
surviving_edges_80p_same_domain_post    gcn           cora          75.44           71.96             77.36
baseline_train_same_domain_dist         gcn           cora          90.98           54.10             68.33
baseline_test_same_domain_dist          gcn           cora          75.44           52.34             67.70
surviving_edges_20p_same_domain_dist    gcn           cora          75.44           58.18             69.30
surviving_edges_40p_same_domain_dist    gcn           cora          75.44           71.34             72.41
surviving_edges_60p_same_domain_dist    gcn           cora          75.44           74.65             72.70
surviving_edges_80p_same_domain_dist    gcn           cora          75.44           74.30             74.54

baseline_train_same_domain_post         gcn           citeseer      86.66           71.98             75.28
baseline_test_same_domain_post          gcn           citeseer      71.12           68.77             69.07
surviving_edges_20p_same_domain_post    gcn           citeseer      71.12           71.78             75.97
surviving_edges_40p_same_domain_post    gcn           citeseer      71.12           65.90             55.74
surviving_edges_60p_same_domain_post    gcn           citeseer      71.12           75.41             78.02
surviving_edges_80p_same_domain_post    gcn           citeseer      71.12           70.64             76.55
baseline_train_same_domain_dist         gcn           citeseer      86.66           74.54             77.17
baseline_test_same_domain_dist          gcn           citeseer      71.12           70.81             75.56
surviving_edges_20p_same_domain_dist    gcn           citeseer      71.12           68.60             74.86
surviving_edges_40p_same_domain_dist    gcn           citeseer      71.12           64.70             72.97
surviving_edges_60p_same_domain_dist    gcn           citeseer      71.12           72.10             77.61
surviving_edges_80p_same_domain_dist    gcn           citeseer      71.12           73.41             76.81

baseline_train_same_domain_post         gcn           pubmed        89.24           70.72             75.11
baseline_test_same_domain_post          gcn           pubmed        86.69           69.12             75.05
surviving_edges_20p_same_domain_post    gcn           pubmed        86.69           72.64             76.90
surviving_edges_40p_same_domain_post    gcn           pubmed        86.69           71.55             70.38
surviving_edges_60p_same_domain_post    gcn           pubmed        86.69           72.68             69.93
surviving_edges_80p_same_domain_post    gcn           pubmed        86.69           56.03             21.91
baseline_train_same_domain_dist         gcn           pubmed        89.24           71.15             76.29
baseline_test_same_domain_dist          gcn           pubmed        86.69           70.38             76.05
surviving_edges_20p_same_domain_dist    gcn           pubmed        86.69           72.88             76.94
surviving_edges_40p_same_domain_dist    gcn           pubmed        86.69           75.56             78.24
surviving_edges_60p_same_domain_dist    gcn           pubmed        86.69           77.08             80.00
surviving_edges_80p_same_domain_dist    gcn           pubmed        86.69           78.32             81.12
