Attack (target_ds, attacker_ds)       GNN           Target Acc      Attacker Acc      Attacker F1-Score
surviving_edges_20p_cora_pubmed       gcn           87.74           73.83             77.97
surviving_edges_40p_cora_pubmed       gcn           87.74           78.61             80.92
surviving_edges_60p_cora_pubmed       gcn           87.74           79.91             82.28
surviving_edges_80p_cora_pubmed       gcn           87.74           82.40             84.38

baseline_1_citeseer_cora              gcn           89.83           69.71             74.04
baseline_2_citeseer_cora              gcn           75.46           54.91             67.10
surviving_edges_20p_citeseer_cora     gcn           75.46           51.57             65.30
surviving_edges_40p_citeseer_cora     gcn           75.46           73.31             76.20
surviving_edges_60p_citeseer_cora     gcn           75.46           76.25             75.17
surviving_edges_80p_citeseer_cora     gcn           75.46           85.04             85.60

baseline_1_citeseer_pubmed            gcn           90.35           53.16             67.91
baseline_2_citeseer_pubmed            gcn           87.74           65.02             73.65
surviving_edges_20p_citeseer_pubmed   gcn           87.74           73.92             77.78
surviving_edges_40p_citeseer_pubmed   gcn           87.74           76.92             79.78
surviving_edges_60p_citeseer_pubmed   gcn           87.74           79.40             81.70
surviving_edges_80p_citeseer_pubmed   gcn           87.74           80.32             82.61

baseline_1_pubmed_cora                gcn           89.83           70.70             64.75
baseline_2_pubmed_cora                gcn           75.46           53.83             68.05
surviving_edges_20p_pubmed_cora       gcn           75.46           67.70             72.76
surviving_edges_40p_pubmed_cora       gcn           75.46           72.65             74.24
surviving_edges_60p_pubmed_cora       gcn           75.46           76.25             73.98
surviving_edges_80p_pubmed_cora       gcn           75.46           78.68             81.86

baseline_1_pubmed_citeseer            gcn           71.11           77.04             78.62
baseline_2_pubmed_citeseer            gcn           57.24           59.92             71.29
surviving_edges_20p_pubmed_citeseer   gcn           57.24           70.54             76.15
surviving_edges_40p_pubmed_citeseer   gcn           57.24           72.42             76.87
surviving_edges_60p_pubmed_citeseer   gcn           57.24           74.63             77.40
surviving_edges_80p_pubmed_citeseer   gcn           57.24           81.31             83.42
